,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,observed,expectation
571,Male,1,No,No,3,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),2,3,No,0.0,0.26578498293515357
572,Female,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),2,1,No,0.0,0.26578498293515357
573,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),4,4,Yes,1.0,0.26578498293515357
574,Female,1,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4,3,No,0.0,0.26578498293515357
575,Male,0,Yes,No,4,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,3,4,No,0.0,0.26578498293515357
576,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),4,3,No,0.0,0.26578498293515357
577,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,1,No,0.0,0.26578498293515357
578,Male,1,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,4,3,No,0.0,0.26578498293515357
579,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,0,No,0.0,0.26578498293515357
580,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,Yes,1.0,0.26578498293515357
581,Female,0,No,No,0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,2,0,Yes,1.0,0.26578498293515357
582,Female,1,No,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,3,1,Yes,1.0,0.26578498293515357
583,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,0,No,0.0,0.26578498293515357
584,Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,0,No,0.0,0.26578498293515357
585,Female,1,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,3,0,Yes,1.0,0.26578498293515357
586,Male,0,No,No,3,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),2,3,No,0.0,0.26578498293515357
587,Male,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,0,No,0.0,0.26578498293515357
588,Male,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,4,4,No,0.0,0.26578498293515357
589,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,3,4,No,0.0,0.26578498293515357
590,Male,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
591,Male,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,0,2,No,0.0,0.26578498293515357
592,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),3,4,No,0.0,0.26578498293515357
593,Male,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),3,3,No,0.0,0.26578498293515357
594,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,0,No,0.0,0.26578498293515357
595,Female,0,No,No,1,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,2,1,Yes,1.0,0.26578498293515357
596,Male,0,No,No,1,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,1,1,No,0.0,0.26578498293515357
597,Male,0,No,No,0,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,2,0,No,0.0,0.26578498293515357
598,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),3,4,No,0.0,0.26578498293515357
599,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0,2,No,0.0,0.26578498293515357
600,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2,2,No,0.0,0.26578498293515357
601,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,0,No,0.0,0.26578498293515357
602,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),2,4,No,0.0,0.26578498293515357
603,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,4,4,No,0.0,0.26578498293515357
604,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),4,3,No,0.0,0.26578498293515357
605,Male,0,Yes,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),3,4,No,0.0,0.26578498293515357
606,Male,0,Yes,Yes,2,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),3,3,No,0.0,0.26578498293515357
607,Male,0,No,Yes,3,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),1,3,No,0.0,0.26578498293515357
608,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),4,4,No,0.0,0.26578498293515357
609,Female,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),4,4,Yes,1.0,0.26578498293515357
610,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0,Yes,1.0,0.26578498293515357
611,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,2,1,Yes,1.0,0.26578498293515357
612,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,2,No,0.0,0.26578498293515357
613,Female,1,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
614,Male,0,No,No,3,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),2,3,No,0.0,0.26578498293515357
615,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,1,No,0.0,0.26578498293515357
616,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,0,No,0.0,0.26578498293515357
617,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
618,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),3,4,No,0.0,0.26578498293515357
619,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2,1,No,0.0,0.26578498293515357
620,Male,1,Yes,Yes,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1,1,No,0.0,0.26578498293515357
621,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,3,4,No,0.0,0.26578498293515357
622,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,3,3,No,0.0,0.26578498293515357
623,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,1,No,0.0,0.26578498293515357
624,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0,0,Yes,1.0,0.26578498293515357
625,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4,3,No,0.0,0.26578498293515357
626,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,3,2,No,0.0,0.26578498293515357
627,Female,1,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),4,4,No,0.0,0.26578498293515357
628,Female,1,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,4,4,No,0.0,0.26578498293515357
629,Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),3,4,Yes,1.0,0.26578498293515357
630,Male,1,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4,4,Yes,1.0,0.26578498293515357
631,Female,0,Yes,No,3,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,3,No,0.0,0.26578498293515357
632,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),3,4,No,0.0,0.26578498293515357
633,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,0,No,0.0,0.26578498293515357
634,Female,0,No,No,2,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),1,3,No,0.0,0.26578498293515357
635,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,4,Yes,1.0,0.26578498293515357
636,Male,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),4,3,No,0.0,0.26578498293515357
637,Female,0,Yes,No,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),2,4,No,0.0,0.26578498293515357
638,Male,1,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),4,4,Yes,1.0,0.26578498293515357
639,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3,1,Yes,1.0,0.26578498293515357
640,Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1,2,No,0.0,0.26578498293515357
641,Female,0,Yes,Yes,3,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,1,3,Yes,1.0,0.26578498293515357
642,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3,0,Yes,1.0,0.26578498293515357
643,Female,1,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),3,3,No,0.0,0.26578498293515357
644,Female,0,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,1,1,No,0.0,0.26578498293515357
645,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,2,Yes,1.0,0.26578498293515357
646,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,0,Yes,1.0,0.26578498293515357
647,Male,0,Yes,Yes,3,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,2,3,No,0.0,0.26578498293515357
648,Female,1,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,3,0,Yes,1.0,0.26578498293515357
649,Male,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),2,2,No,0.0,0.26578498293515357
650,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2,0,Yes,1.0,0.26578498293515357
651,Female,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,2,0,Yes,1.0,0.26578498293515357
652,Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,1,No,0.0,0.26578498293515357
653,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,1,No,0.0,0.26578498293515357
654,Female,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0,0,Yes,1.0,0.26578498293515357
655,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),4,1,No,0.0,0.26578498293515357
656,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3,4,No,0.0,0.26578498293515357
657,Male,0,Yes,No,3,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),2,3,No,0.0,0.26578498293515357
658,Male,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,0,Yes,1.0,0.26578498293515357
659,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0,1,No,0.0,0.26578498293515357
660,Female,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0,0,Yes,1.0,0.26578498293515357
661,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,1,No,0.0,0.26578498293515357
662,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,No,0.0,0.26578498293515357
663,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,2,3,No,0.0,0.26578498293515357
664,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
665,Female,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,2,0,No,0.0,0.26578498293515357
666,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,2,0,Yes,1.0,0.26578498293515357
667,Male,0,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,2,No,0.0,0.26578498293515357
668,Female,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,0,Yes,1.0,0.26578498293515357
669,Female,0,Yes,No,4,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),1,3,No,0.0,0.26578498293515357
670,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
671,Male,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1,2,No,0.0,0.26578498293515357
672,Female,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,2,0,Yes,1.0,0.26578498293515357
673,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),0,1,No,0.0,0.26578498293515357
674,Male,1,No,No,3,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,3,Yes,1.0,0.26578498293515357
675,Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,4,4,No,0.0,0.26578498293515357
676,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
677,Female,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,0,Yes,1.0,0.26578498293515357
678,Male,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,4,1,No,0.0,0.26578498293515357
679,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),3,3,No,0.0,0.26578498293515357
680,Male,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,3,0,Yes,1.0,0.26578498293515357
681,Female,0,Yes,Yes,4,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),2,4,No,0.0,0.26578498293515357
682,Male,0,No,No,0,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),2,0,No,0.0,0.26578498293515357
683,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),4,3,No,0.0,0.26578498293515357
684,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,2,0,No,0.0,0.26578498293515357
685,Female,0,No,No,0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,1,0,No,0.0,0.26578498293515357
686,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
687,Male,1,No,No,0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0,Yes,1.0,0.26578498293515357
688,Male,0,No,No,3,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,1,2,No,0.0,0.26578498293515357
689,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),3,3,No,0.0,0.26578498293515357
690,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,0,No,0.0,0.26578498293515357
691,Male,0,Yes,Yes,2,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),2,3,No,0.0,0.26578498293515357
692,Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0,2,No,0.0,0.26578498293515357
693,Female,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2,1,Yes,1.0,0.26578498293515357
694,Female,1,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,0,1,No,0.0,0.26578498293515357
695,Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,0,No,0.0,0.26578498293515357
696,Male,0,Yes,No,4,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),3,4,No,0.0,0.26578498293515357
697,Male,0,Yes,Yes,0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1,0,Yes,1.0,0.26578498293515357
698,Male,1,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),3,3,No,0.0,0.26578498293515357
699,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),2,4,No,0.0,0.26578498293515357
700,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),2,3,No,0.0,0.26578498293515357
701,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,3,3,No,0.0,0.26578498293515357
702,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3,3,No,0.0,0.26578498293515357
703,Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,0,No,0.0,0.26578498293515357
704,Male,0,No,No,0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,1,0,No,0.0,0.26578498293515357
705,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),3,2,Yes,1.0,0.26578498293515357
706,Female,0,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,2,3,No,0.0,0.26578498293515357
707,Male,1,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),4,3,No,0.0,0.26578498293515357
708,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),2,3,No,0.0,0.26578498293515357
709,Male,0,Yes,Yes,2,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),3,3,No,0.0,0.26578498293515357
710,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,Yes,1.0,0.26578498293515357
711,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,3,2,No,0.0,0.26578498293515357
712,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0,2,No,0.0,0.26578498293515357
713,Female,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,3,2,No,0.0,0.26578498293515357
714,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1,2,No,0.0,0.26578498293515357
715,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),3,3,No,0.0,0.26578498293515357
716,Female,0,Yes,No,4,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),1,3,No,0.0,0.26578498293515357
717,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),3,3,No,0.0,0.26578498293515357
718,Female,0,No,No,2,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,2,No,0.0,0.26578498293515357
719,Male,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),3,4,No,0.0,0.26578498293515357
720,Male,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,0,No,0.0,0.26578498293515357
721,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,2,No,0.0,0.26578498293515357
722,Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3,1,Yes,1.0,0.26578498293515357
723,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0,Yes,1.0,0.26578498293515357
724,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,3,Yes,1.0,0.26578498293515357
725,Male,1,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,0,No,0.0,0.26578498293515357
726,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1,1,No,0.0,0.26578498293515357
727,Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,3,1,No,0.0,0.26578498293515357
728,Female,1,No,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),3,3,Yes,1.0,0.26578498293515357
729,Male,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),2,4,No,0.0,0.26578498293515357
730,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,3,3,Yes,1.0,0.26578498293515357
731,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,No,0.0,0.26578498293515357
732,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,2,2,No,0.0,0.26578498293515357
733,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),2,4,No,0.0,0.26578498293515357
734,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),3,3,No,0.0,0.26578498293515357
735,Male,0,Yes,Yes,2,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),1,2,No,0.0,0.26578498293515357
736,Female,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),4,3,No,0.0,0.26578498293515357
737,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),4,4,No,0.0,0.26578498293515357
738,Male,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),3,3,No,0.0,0.26578498293515357
